"Tarkistettu","Seuraava tarkistus","Kriittinen numero","Kategoria","Nimi","Näkyvä numero","tel-linkki","Lähde-URL","Lopullinen lähde-URL","Lähdedomain","Lähdetyyppi","Muototarkistus","Lähdetarkistus","Kokonaistila","Lähdetiedosto","Huomiot"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Tampereen Aluetaksi Oy","0800 415 720","tel:0800415720","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Vaasan Ulataksi Oy","0800 500 100","tel:0800500100","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-12-01","kyllä","Kela-taksi","Kela-taksi: Vaasan Ulataksi Oy","0800 500 500","tel:0800500500","https://www.kela.fi/taksimatkat#tilausnumerot-maakunnittain","https://www.kela.fi/taksimatkat","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","localKelaTaxiNumbers.ts","Tarkista tiedot uudelleen ennen 1.1.2027"
"2026-08-25","2026-11-23","kyllä","Puhelinnumerot","Aktia kortin sulkupalvelu","0800 0 2477","tel:080002477","https://www.aktia.fi/fi/turvallisuus","https://www.aktia.fi/fi/turvallisuus","aktia.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2026-11-23","kyllä","Puhelinnumerot","Danske Bank kortin sulkupalvelu","0200 2585","tel:02002585","https://danskebank.fi/sinulle/asiakaspalvelu/sulkupalvelu","https://danskebank.fi/sinulle/asiakaspalvelu/sulkupalvelu","danskebank.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2026-11-23","kyllä","Puhelinnumerot","Hätänumero 112","112","tel:112","https://112.fi/hatanumero112","https://112.fi/hatanumero112","112.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2026-11-23","kyllä","Puhelinnumerot","OP kortin sulkupalvelu","0100 0555","tel:01000555","https://www.op.fi/henkiloasiakkaat/paivittaiset/kortit/kortin-katoaminen","https://www.op.fi/henkiloasiakkaat/paivittaiset/kortit/kortin-katoaminen","op.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2026-11-23","kyllä","Puhelinnumerot","Pankkien yhteinen korttien sulkupalvelu","020 333","tel:020333","https://www.s-pankki.fi/fi/turvallisuus-s-pankissa/turvallinen-pankkiasiointi/","https://www.s-pankki.fi/fi/turvallisuus-s-pankissa/turvallinen-pankkiasiointi/","s-pankki.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2026-11-23","kyllä","Puhelinnumerot","S-Pankki pankkitunnusten sulku","09 6964 6820","tel:0969646820","https://www.s-pankki.fi/fi/turvallisuus-s-pankissa/turvallinen-pankkiasiointi/","https://www.s-pankki.fi/fi/turvallisuus-s-pankissa/turvallinen-pankkiasiointi/","s-pankki.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2026-11-23","kyllä","Puhelinnumerot","Ålandsbanken Internetkonttorin sulku","09 696 468 00","tel:0969646800","https://online.alandsbanken.fi/service/identify","https://online.alandsbanken.fi/service/identify","alandsbanken.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2026-11-23","kyllä","Terveys","Myrkytystietokeskus","0800 147 111","tel:0800147111","https://www.hus.fi/potilaalle/sairaalat-ja-toimipisteet/myrkytystietokeskus","https://www.hus.fi/potilaalle/sairaalat-ja-toimipisteet/myrkytystietokeskus","hus.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2026-11-23","kyllä","Terveys","Päivystysapu","116117","tel:116117","https://116117.fi/","https://116117.fi/","116117.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Julkiset palvelut","Kela - eläkkeet ja eläkkeensaajan asumistuki","020 692 202","tel:020692202","https://www.kela.fi/soita-kelaan","https://www.kela.fi/soita-kelaan","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Julkiset palvelut","Vero.fi - verokortti ja ennakkovero","029 497 000","tel:029497000","https://www.vero.fi/tietoa-verohallinnosta/yhteystiedot-ja-asiointi/soita/henkiloasiakkaat/","https://www.vero.fi/tietoa-verohallinnosta/yhteystiedot-ja-asiointi/soita/","vero.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Pankit","Aktia","010 247 010","tel:010247010","https://www.aktia.fi/fi/asiakaspalvelu","https://www.aktia.fi/fi/asiakaspalvelu","aktia.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Pankit","Danske Bank","0200 2580","tel:02002580","https://danskebank.fi/sinulle/asiakaspalvelu","https://danskebank.fi/sinulle/asiakaspalvelu","danskebank.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Pankit","Nordea","0200 3000","tel:02003000","https://www.nordea.fi/henkiloasiakkaat/palvelumme/verkko-mobiilipalvelut/digineuvontaa.html","https://www.nordea.fi/henkiloasiakkaat/palvelumme/verkko-mobiilipalvelut/digineuvontaa.html","nordea.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Pankit","OP","0100 0500","tel:01000500","https://www.op.fi/osuuspankit/op-keski-suomi/pankin-palvelut/paikallista-asiakaspalvelua/","https://www.op.fi/osuuspankit/op-keski-suomi/pankin-palvelut/paikallista-asiakaspalvelua/","op.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Pankit","S-Pankki","010 76 5800","tel:010765800","https://www.s-pankki.fi/fi/tiedotteet/2025/s-pankki-kehottaa-asiakaspalveluun-soittavia-tarkistamaan-puhelinnumeron/","https://www.s-pankki.fi/fi/tiedotteet/2025/s-pankki-kehottaa-asiakaspalveluun-soittavia-tarkistamaan-puhelinnumeron/","s-pankki.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Pankit","Säästöpankki","0100 5252","tel:01005252","https://www.saastopankki.fi/fi-fi/asiakaspalvelu/yhteydenottokanavat/puhelinnumerot","https://www.saastopankki.fi/fi-fi/asiakaspalvelu/yhteydenottokanavat/puhelinnumerot","saastopankki.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Pankit","Ålandsbanken","0204 292 920","tel:0204292920","https://www.alandsbanken.fi/","https://www.alandsbanken.fi/","alandsbanken.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","Aktia henkilöasiakkaat","010 247 010","tel:010247010","https://www.aktia.fi/fi/asiakaspalvelu","https://www.aktia.fi/fi/asiakaspalvelu","aktia.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","Danske Bank - seniorit ja erityisryhmät","0200 25889","tel:020025889","https://danskebank.fi/sinulle/asiakaspalvelu","https://danskebank.fi/sinulle/asiakaspalvelu","danskebank.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","Danske Bank asiakaspalvelu","0200 2580","tel:02002580","https://danskebank.fi/sinulle/asiakaspalvelu","https://danskebank.fi/sinulle/asiakaspalvelu","danskebank.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","DVV - holhous ja edunvalvonta","0295 536 256","tel:0295536256","https://edunvalvonta.dvv.fi/","https://edunvalvonta.dvv.fi/","dvv.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","Espoo-info","09 816 21","tel:0981621","https://www.espoo.fi/fi/kaupunki-ja-paatoksenteko/espoon-kaupungin-yhteystiedot-ja-palaute","https://www.espoo.fi/fi/kaupunki-ja-paatoksenteko/espoon-kaupungin-yhteystiedot-ja-palaute","espoo.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","Helsinki-info","09 310 11111","tel:0931011111","https://www.hel.fi/fi/paatoksenteko-ja-hallinto/stoa-helsinki-info","https://www.hel.fi/fi/paatoksenteko-ja-hallinto/stoa-helsinki-info","hel.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","Kela - eläkkeet ja eläkkeensaajan asumistuki","020 692 202","tel:020692202","https://www.kela.fi/soita-kelaan/","https://www.kela.fi/soita-kelaan","kela.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","Nordea asiakaspalvelu ja seniorilinja","0200 3000","tel:02003000","https://www.nordea.fi/henkiloasiakkaat/palvelumme/verkko-mobiilipalvelut/digineuvontaa.html","https://www.nordea.fi/henkiloasiakkaat/palvelumme/verkko-mobiilipalvelut/digineuvontaa.html","nordea.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","OP henkilöasiakkaat","0100 0500","tel:01000500","https://www.op.fi/osuuspankit/op-keski-suomi/pankin-palvelut/paikallista-asiakaspalvelua/","https://www.op.fi/osuuspankit/op-keski-suomi/pankin-palvelut/paikallista-asiakaspalvelua/","op.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","OP seniorit ja erityistä tukea tarvitsevat","010 252 9627","tel:0102529627","https://www.op.fi/osuuspankit/op-keski-suomi/pankin-palvelut/paikallista-asiakaspalvelua/","https://www.op.fi/osuuspankit/op-keski-suomi/pankin-palvelut/paikallista-asiakaspalvelua/","op.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","Oulu10-asiakaspalvelu","08 558 558 00","tel:0855855800","https://www.ouka.fi/yhteystiedot-ja-palaute","https://www.ouka.fi/yhteystiedot-ja-palaute","ouka.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","Poliisin valtakunnallinen neuvonta","0295 419 800","tel:0295419800","https://poliisi.fi/neuvontapalvelu","https://poliisi.fi/neuvontapalvelu","poliisi.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","S-Pankki asiakaspalvelu","010 76 5800","tel:010765800","https://www.s-pankki.fi/fi/tiedotteet/2025/s-pankki-kehottaa-asiakaspalveluun-soittavia-tarkistamaan-puhelinnumeron/","https://www.s-pankki.fi/fi/tiedotteet/2025/s-pankki-kehottaa-asiakaspalveluun-soittavia-tarkistamaan-puhelinnumeron/","s-pankki.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
"2026-08-25","2027-02-21","ei","Puhelinnumerot","Suomi.fi-palvelujen neuvonta","0295 000","tel:0295000","https://www.suomi.fi/ohjeet-ja-tuki/tuki-ja-neuvonta/kansalaisneuvonta","https://www.suomi.fi/ohjeet-ja-tuki/tuki-ja-neuvonta/suomi-fi-palvelujen-neuvonta","suomi.fi","palveluntarjoajan sivu","ok","numero löytyi lähteestä","ok","constants.tsx",""
