"Päivitetty","Kunta","Varmuus","Tyyppi","Pisteet","Nimi","URL","Kunnan sivu","HTTP","Löytötapa","Osumat"
"13.8.2026 klo 14.28","Hattula","korkea","palvelusivu","690","Ikäihmisille","https://hattula.fi/palvelut/hyvinvointi/ikaihmisille/","https://hattula.fi/","200","etusivu","ikäihmisille; ikaihmisille; ikääntyneiden palvelut; ikääntyneille; vanhus"
"13.8.2026 klo 14.28","Hattula","keskitaso","viitesivu","645","Oma Häme tiedottaa: odotusajat vanhuspalveluihin Hattulassa 1.1.-30.6.2023","https://hattula.fi/2023/07/oma-hame-tiedottaa-odotusajat-vanhuspalveluihin-hattulassa-1-1-30-6-2023/","https://hattula.fi/","200","sivukartta","vanhuspalvelu; vanhus; ikäihmisille"
"13.8.2026 klo 14.28","Hattula","korkea","palvelusivu","600","Jouluiloa lapsilta ikäihmisille","https://hattula.fi/2023/12/jouluiloa-lapsilta-ikaihmisille/","https://hattula.fi/","200","sivukartta","ikäihmisille; ikaihmisille; vanhus"
"13.8.2026 klo 14.28","Hattula","korkea","palvelusivu","600","Ikäihmisille","https://hattula.fi/palvelut/hyvinvointi/ikaihmisille/","https://hattula.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikääntyneiden palvelut; ikääntyneille; vanhus"
"13.8.2026 klo 14.28","Hattula","keskitaso","viitesivu","285","Vanhusneuvosto","https://hattula.fi/palvelut/hyvinvointi/vanhusneuvosto/","https://hattula.fi/","200","etusivu","vanhus; vanhusten palvelut; ikäihmisille"
"13.8.2026 klo 14.28","Heinävesi","keskitaso","viitesivu","210","Tulokset haulle: ”vanhus”","https://www.heinavesi.fi/?s=vanhus","https://www.heinavesi.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Hirvensalmi","keskitaso","viitesivu","165","HIRVENSALMI","https://www.hirvensalmi.fi/?phrase=vanhus","https://www.hirvensalmi.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Hollola","keskitaso","viitesivu","465","Vanhus- ja vammaisneuvoston toiminta - Hollola","https://hollola.fi/hyvinvointi/seniorit-ja-erityisryhmat/vanhus-ja-vammaisneuvoston-toiminta/","https://hollola.fi/","200","etusivu","seniorit; vanhus"
"13.8.2026 klo 14.28","Hollola","korkea","palvelusivu","370","Senioreille","https://hollola.fi/senioreille/","https://hollola.fi/","200","etusivu","senioreille"
"13.8.2026 klo 14.28","Hollola","keskitaso","viitesivu","370","Seniorit ja erityisryhmät - Hollola","https://hollola.fi/hyvinvointi/seniorit-ja-erityisryhmat/","https://hollola.fi/","200","etusivu","seniorit"
"13.8.2026 klo 14.28","Huittinen","korkea","palvelusivu","405","Seniorit","https://www.huittinen.fi/vapaa-aika/seniorit/","https://www.huittinen.fi/","200","etusivu","seniorit; senioreille; vanhus"
"13.8.2026 klo 14.28","Huittinen","keskitaso","viitesivu","285","Vanhusneuvosto","https://www.huittinen.fi/kunta-ja-hallinto/osallistu-ja-vaikuta/vanhusneuvosto/","https://www.huittinen.fi/","200","etusivu","vanhus; ikääntyneille; seniorit"
"13.8.2026 klo 14.28","Hyrynsalmi","keskitaso","viitesivu","210","Hakutulokset","https://hyrynsalmi.fi/?s=vanhus","https://www.hyrynsalmi.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Hämeenkyrö","keskitaso","viitesivu","600","Joulupostia ikäihmisille -kampanja keräsi lähes 350 joulukorttia Hämeenkyrössä!","https://hameenkyro.fi/joulupostia-ikaihmisille-kampanja-kerasi-lahes-350-joulukorttia-hameenkyrossa/","https://hameenkyro.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikääntyneille"
"13.8.2026 klo 14.28","Hämeenkyrö","keskitaso","viitesivu","600","Joulupostia ikäihmisille -kampanja","https://hameenkyro.fi/joulupostia-ikaihmisille-kampanja/","https://hameenkyro.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikääntyneille"
"13.8.2026 klo 14.28","Hämeenlinna","keskitaso","viitesivu","210","vanhusneuvosto - Hämeenlinna","https://www.hameenlinna.fi/asiasana/vanhusneuvosto/","https://www.hameenlinna.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Hämeenlinna","keskitaso","viitesivu","210","Vanhusneuvosto","https://www.hameenlinna.fi/hallinto-ja-talous/paatoksenteko/neuvostot/vanhusneuvosto-2/","https://www.hameenlinna.fi/","200","syvälinkki","vanhus"
"13.8.2026 klo 14.28","Hämeenlinna","keskitaso","viitesivu","165","Hämeenlinna","https://www.hameenlinna.fi/?vs_q=vanhus","https://www.hameenlinna.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Iitti","korkea","palvelusivu","690","Ikäihmisille","https://www.iitti.fi/ikaihmisille/","https://www.iitti.fi/","200","etusivu","ikäihmisille; ikaihmisille; ikääntyneille"
"13.8.2026 klo 14.28","Ikaalinen","keskitaso","viitesivu","645","Vanhuspalvelulaki","https://ikaalinen.fi/kaupunki-ja-hallinto/vanhusneuvosto/vanhuspalvelulaki/","https://ikaalinen.fi/","200","sivukartta","vanhuspalvelu; vanhus; ikääntyneille"
"13.8.2026 klo 14.28","Ilmajoki","keskitaso","viitesivu","210","Vanhusten asunnot","https://ilmajoki.fi/asuminen-ja-ymparisto/vuokra-asunnot/vanhusten-ja-vammaisten-asuminen/","https://ilmajoki.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Ilmajoki","keskitaso","viitesivu","210","Hakutulokset","https://ilmajoki.fi/?s=vanhus","https://ilmajoki.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Ilomantsi","keskitaso","viitesivu","210","Hakutulokset","https://www.ilomantsi.fi/?s=vanhus","https://www.ilomantsi.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Ilomantsi","keskitaso","viitesivu","210","Vanhus- ja vammaisneuvosto","https://www.ilomantsi.fi/hallinto-ja-paatoksenteko/esityslistat-ja-poytakirjat/vaikuttamistoimielimet/vanhus-ja-vammaisneuvosto/","https://www.ilomantsi.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Imatra","keskitaso","viitesivu","1050","Joulupostia ikäihmisille -kampanja kutsuu Imatran asukkaat lähettämään joulukortteja ikääntyneille","https://www.imatra.fi/joulupostia-ikaihmisille-kampanja-kutsuu-imatran-asukkaat-lahettamaan-joulukortteja-ikaantyneille","https://www.imatra.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikääntyneille; ikaantyneille"
"13.8.2026 klo 14.28","Imatra","korkea","palvelusivu","735","Vanhustenviikolla 2. – 9.10. Imatralla on paljon ikäihmisille suunnattua ohjelmaa","https://www.imatra.fi/vanhustenviikolla-2-910-imatralla-paljon-ikaihmisille-suunnattua-ohjelmaa","https://www.imatra.fi/","200","sivukartta","ikäihmisille; ikaihmisille; vanhus"
"13.8.2026 klo 14.28","Imatra","keskitaso","viitesivu","600","Imatran kaupunki osallistuu tänäkin vuonna Siskojen ja Simojen Joulupostia ikäihmisille -kampanjaan.","https://www.imatra.fi/imatran-kaupunki-osallistuu-tanakin-vuonna-siskojen-ja-simojen-joulupostia-ikaihmisille-kampanjaan","https://www.imatra.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikäihminen; ikääntyneille"
"13.8.2026 klo 14.28","Imatra","korkea","palvelusivu","370","Seniorit","https://www.imatra.fi/seniorit","https://www.imatra.fi/","200","sivukartta","seniorit"
"13.8.2026 klo 14.28","Imatra","keskitaso","viitesivu","210","Vanhusneuvosto","https://www.imatra.fi/vanhusneuvosto","https://www.imatra.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Inari","keskitaso","viitesivu","210","Vanhus- ja vammaisneuvosto","https://www.inari.fi/fi/osallistuminen/osallistu-ja-vaikuta/vaikuttamistoimielimet/vanhus-ja-vammaisneuvosto.html","https://www.inari.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Inkoo","keskitaso","viitesivu","840","Projektet AgeIngå ser stort outnyttjat potential i pensionärer","https://www.inga.fi/2024/10/10/projektet-ageinga-ser-stort-outnyttjat-potential-i-pensionarer/?_rt=NnwxfHBlbnNpb27DpHJ8MTc4NjYyMDE3MA&_rt_nonce=9ba4975270","https://www.inga.fi/","200","sisäinen haku","pensionärer; pensionarer; pensionär; pensionar; äldre personer; för äldre; äldre"
"13.8.2026 klo 14.28","Inkoo","korkea","palvelusivu","370","Utdelning av halkskydd för seniorer 75+","https://www.inga.fi/2025/12/08/utdelning-av-halkskydd-for-seniorer-75/","https://www.inga.fi/","200","sivukartta","seniorer"
"13.8.2026 klo 14.28","Isojoki","keskitaso","viitesivu","285","Valtakunnallinen Vanhustenviikko 2025","https://isojoki.fi/valtakunnallinen-vanhustenviikko-2025/","https://isojoki.fi/","200","sisäinen haku","vanhus; ikäihmisille"
"13.8.2026 klo 14.28","Isojoki","keskitaso","viitesivu","210","Hakutulokset","https://isojoki.fi/?s=vanhus","https://isojoki.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Isojoki","keskitaso","viitesivu","210","Vanhustenviikko 2.-9.10.2022","https://isojoki.fi/vanhustenviikko-2-9-10-2022/","https://isojoki.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Isojoki","keskitaso","viitesivu","210","Vanhustenviikko 2023","https://isojoki.fi/vanhustenviikko-2023/","https://isojoki.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Isojoki","keskitaso","viitesivu","210","Vanhustenviikko 2024 – ohjelma","https://isojoki.fi/vanhustenviikko-2024-ohjelma/","https://isojoki.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Janakkala","korkea","palvelusivu","390","Toimintaa ikäihmisille","https://www.janakkala.fi/kuntalaisten-hyvinvointi/ikaantyneiden-olohuonetoiminta/","https://www.janakkala.fi/","200","etusivu","ikäihmisille"
"13.8.2026 klo 14.28","Janakkala","keskitaso","viitesivu","255","Sivua ei löydy","https://www.janakkala.fi/?s=vanhus","https://www.janakkala.fi/","200","sisäinen haku","vanhus; ikäihmisille"
"13.8.2026 klo 14.28","Jomala","korkea","palvelusivu","1110","Synpunkter äldreomsorgen","https://www.jomala.ax/blanketter/synpunkter-aldreomsorgen","https://www.jomala.ax/","200","syvälinkki","äldreomsorg; aldreomsorg; äldre; aldre; för äldre"
"13.8.2026 klo 14.28","Jomala","keskitaso","viitesivu","1110","Ansökan om service inom äldreomsorgen","https://www.jomala.ax/blanketter/ansokan-om-service-inom-aldreomsorgen","https://www.jomala.ax/","200","syvälinkki","äldreomsorg; aldreomsorg; äldre; aldre; för äldre"
"13.8.2026 klo 14.28","Jomala","korkea","palvelusivu","720","Aktiviteter för äldre","https://www.jomala.ax/aktiviteter-aldre","https://www.jomala.ax/","200","etusivu","för äldre; äldre; aldre"
"13.8.2026 klo 14.28","Jomala","keskitaso","viitesivu","450","Äldrerådet i Jomala","https://www.jomala.ax/omsorg/aldreradet-jomala","https://www.jomala.ax/","200","etusivu","äldre; aldre; äldre personer; för äldre"
"13.8.2026 klo 14.28","Joroinen","keskitaso","viitesivu","210","Hakutulokset: vanhus","https://www.joroinen.fi/?s=vanhus","https://www.joroinen.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Joroinen","keskitaso","viitesivu","210","Search results: vanhus","https://www.joroinen.fi/en/?s=vanhus","https://www.joroinen.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Joroinen","keskitaso","viitesivu","210","Результати пошуку: vanhus","https://www.joroinen.fi/uk/?s=vanhus","https://www.joroinen.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Juuka","keskitaso","viitesivu","210","Haku","https://www.juuka.fi/?s=vanhus","https://www.juuka.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Juupajoki","korkea","palvelusivu","660","Ikäihmisille","https://juupajoki.fi/ikaihmisille/","https://juupajoki.fi/","200","etusivu","ikäihmisille; ikaihmisille"
"13.8.2026 klo 14.28","Juupajoki","korkea","palvelusivu","600","Ikäihmisille maksuttomat Hyvinvointia käsin ja kohdaten -käsityöpajat syksyllä 2025 myös Juupajoella","https://juupajoki.fi/2025/08/29/ikaihmisille-maksuttomat-hyvinvointia-kasin-ja-kohdaten-kasityopajat-syksylla-2025-myos-juupajoella/","https://juupajoki.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikäihmiset"
"13.8.2026 klo 14.28","Juupajoki","keskitaso","viitesivu","240","Kysely ikääntyneiden virkistystoiminnasta","https://juupajoki.fi/2026/07/29/kysely-ikaantyneiden-virkistystoiminnasta/","https://juupajoki.fi/","200","etusivu","ikääntyneille; vanhus"
"13.8.2026 klo 14.28","Juva","keskitaso","viitesivu","210","Onnellinen elämä eläkkeellä &ndash; Rauni Vasara nauttii eläkepäivistään Juvalla","https://www.juva.fi/asukastarina-onnellinen-elama","https://www.juva.fi/","200","etusivu","eläkkeellä"
"13.8.2026 klo 14.28","Jyväskylä","keskitaso","viitesivu","1020","Sote 2020 -hanke: Vanhuspalvelut","https://www.jyvaskyla.fi/kaupunki-ja-paatoksenteko/strategia-ja-kehittaminen/hankkeet/sote-2020/vanhuspalvelut","https://www.jyvaskyla.fi/","200","sivukartta","vanhuspalvelut; vanhuspalvelu; vanhus; ikäystävällinen"
"13.8.2026 klo 14.28","Jyväskylä","korkea","palvelusivu","600","Museoiden palvelut ikääntyneille","https://www.jyvaskyla.fi/museot/tekemista/ikaantyneille","https://www.jyvaskyla.fi/","200","sivukartta","ikääntyneille; ikaantyneille; ikääntyneet; senioreille; vanhus"
"13.8.2026 klo 14.28","Jyväskylä","korkea","palvelusivu","500","Palveluja senioreille","https://www.jyvaskyla.fi/palveluja-senioreille","https://www.jyvaskyla.fi/","200","etusivu","senioreille; ikääntyneiden palvelut; ikääntyneille"
"13.8.2026 klo 14.28","Jyväskylä","korkea","palvelusivu","405","Liikkumisohjelman toimenpiteet: Seniorit","https://www.jyvaskyla.fi/liikkumisohjelma/toimenpiteet/seniorit","https://www.jyvaskyla.fi/","200","sivukartta","seniorit; ikääntyneet; senioreille"
"13.8.2026 klo 14.28","Jyväskylä","korkea","palvelusivu","370","Voi hyvin -iltapäivät senioreille","https://www.jyvaskyla.fi/kaupunki-ja-paatoksenteko/osallistu-ja-vaikuta/voi-hyvin-iltapaivat-senioreille","https://www.jyvaskyla.fi/","200","sivukartta","senioreille"
"13.8.2026 klo 14.28","Jämijärvi","keskitaso","viitesivu","210","Tulokset haulle: ”vanhus”","https://jamijarvi.fi/?s=vanhus","https://jamijarvi.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Kaarina","korkea","palvelusivu","690","Ikäihmisille","https://kaarina.fi/fi/etusivu/ikaihmisille","https://kaarina.fi/","200","etusivu","ikäihmisille; ikaihmisille; ikääntyneiden palvelut; ikääntyneille"
"13.8.2026 klo 14.28","Kaarina","korkea","palvelusivu","600","Ikäihmisille","https://kaarina.fi/fi/etusivu/ikaihmisille","https://kaarina.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikääntyneiden palvelut; ikääntyneille"
"13.8.2026 klo 14.28","Kaarina","korkea","palvelusivu","600","Kulttuuria ikäihmisille Kaarinassa","https://kaarina.fi/fi/kulttuuri-ja-vapaa-aika/kulttuuripalvelut/kulttuuria-ikaihmisille-kaarinassa","https://kaarina.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikäihmiset"
"13.8.2026 klo 14.28","Kaarina","korkea","palvelusivu","570","Hyvinvointia ja kulttuuria ikäihmisille -esite","https://kaarina.fi/fi/etusivu/ikaihmisille/hyvinvointia-ja-kulttuuria-ikaihmisille-esite","https://kaarina.fi/","200","sivukartta","ikäihmisille; ikaihmisille"
"13.8.2026 klo 14.28","Kaarina","korkea","palvelusivu","390","Turvapuhelinpalvelu","https://kaarina.fi/fi/etusivu/ikaihmisille/palveluja-kotona-asumisen-tueksi/turvapuhelinpalvelu","https://kaarina.fi/","200","sivukartta","ikaihmisille; ikäihmisille"
"13.8.2026 klo 14.28","Kaavi","keskitaso","viitesivu","210","Vanhus ja vammaisneuvosto","https://kaavi.fi/byrokratia-ja-paatoksenteko/lautakunnat-ja-neuvostot/vanhus-ja-vammaisneuvosto/","https://kaavi.fi/","200","etusivu","vanhus"
"13.8.2026 klo 14.28","Kaavi","keskitaso","viitesivu","210","Haku","https://kaavi.fi/?s=vanhus","https://kaavi.fi/","200","sisäinen haku","vanhus"
"13.8.2026 klo 14.28","Kajaani","korkea","palvelusivu","600","Hyvinvointia ja liikettä ikäihmisille syksyyn 2026","https://kajaani.fi/tiedotteet/hyvinvointia-ja-liiketta-ikaihmisille-syksyyn-2026/","https://www.kajaani.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikäihmiset; ikääntyneille"
"13.8.2026 klo 14.28","Kajaani","keskitaso","viitesivu","600","Joulupostia ikäihmisille -kampanja keräsi 1729 joulukorttia Kajaanissa","https://kajaani.fi/tiedotteet/joulupostia-ikaihmisille-kampanja-kerasi-1729-joulukorttia-kajaanissa/","https://www.kajaani.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikäihmiset"
"13.8.2026 klo 14.28","Kajaani","keskitaso","viitesivu","600","Osallistu Joulupostia ikäihmisille -kampanjaan – Askartele korttisi 4.12.2025 mennessä","https://kajaani.fi/tiedotteet/osallistu-joulupostia-ikaihmisille-kampanjaan-askartele-korttisi-4-12-2025-mennessa/","https://www.kajaani.fi/","200","sivukartta","ikäihmisille; ikaihmisille; ikäihmiset"
