"kunta","perusosoite","lopullinen osoite","kieli","kieliversion osoite","lähde","tila"
"kangasniemi","https://www.kangasniemi.fi/","https://www.kangasniemi.fi/","sv","https://www.kangasniemi.fi/sv/framsidan/","anchor-hreflang","200"
"kankaanpää","https://www.kankaanpaa.fi/","https://www.kankaanpaa.fi/","","","","200"
"kannonkoski","https://kannonkoski.fi/","https://kannonkoski.fi/","en","https://kannonkoski.fi/kannonkoski-in-english","anchor","200"
"kannus","https://kannus.fi/","https://kannus.fi/","","","","200"
"karijoki","https://karijoki.fi/","https://karijoki.fi/","en","https://karijoki.fi/english/","anchor","200"
"karkkila","https://www.karkkila.fi/","https://karkkila.fi/","","","","200"
"karstula","https://karstula.fi/","https://karstula.fi/","","","","200"
"karvia","https://karvia.fi/","https://karvia.fi/","","","","200"
"kaskinen","https://kaskinen.fi/","https://kaskinen.fi/fi","sv","https://kaskinen.fi/sv","anchor","200"
"kauhajoki","https://kauhajoki.fi/","https://kauhajoki.fi/","","","","200"
"kauhava","https://www.kauhava.fi","https://kauhava.fi/","en","https://kauhava.fi/en/","anchor-hreflang","200"
"kauniainen","https://www.kauniainen.fi/","https://www.kauniainen.fi/","sv","https://www.kauniainen.fi/sv/","anchor-hreflang","200"
"kaustinen","https://kaustinen.fi/","https://kaustinen.fi/","","","","200"
"keitele","https://www.keitele.fi/","https://keitele.fi/","en","https://keitele.fi/en/front-page/","anchor-hreflang","200"
"kemi","https://www.kemi.fi/","https://www.kemi.fi/","en","https://www.kemi.fi/en/","anchor-hreflang","200"
"kemi","https://www.kemi.fi/","https://www.kemi.fi/","sv","https://www.kemi.fi/sv/","anchor-hreflang","200"
"kemijärvi","https://kemijarvi.fi/","https://kemijarvi.fi/","en","https://kemijarvi.fi/en/","anchor-hreflang","200"
"keminmaa","https://www.keminmaa.fi/","https://www.keminmaa.fi/","","","","200"
"kemiönsaari","https://en.kimitoon.fi/","https://en.kimitoon.fi/","en","https://en.kimitoon.fi/","anchor-hreflang","200"
"kemiönsaari","https://en.kimitoon.fi/","https://en.kimitoon.fi/","sv","https://www.kimitoon.fi/","anchor-hreflang","200"
"kempele","https://www.kempele.fi/","https://kempele.fi/","","","","200"
"kerava","https://www.kerava.fi","https://www.kerava.fi","","","","500"
"keuruu","https://www.keuruu.fi/","https://keuruu.fi/","en","https://keuruu.fi/en/","anchor-hreflang","200"
"kihniö","https://www.kihnio.fi/","https://www.kihnio.fi/fi","","","","200"
"kinnula","https://www.kinnula.fi/","https://www.kinnula.fi/","","","","200"
"kirkkonummi","https://www.kyrkslatt.fi/","https://kyrkslatt.fi/","sv","https://kyrkslatt.fi/","anchor-hreflang","200"
"kitee","https://www.kitee.fi/","https://www.kitee.fi/","en","https://www.kitee.fi/en/web/eng","anchor","200"
"kitee","https://www.kitee.fi/","https://www.kitee.fi/","ru","https://www.kitee.fi/ru/web/rus","anchor","200"
"kittilä","https://kittila.fi/","https://kittila.fi/","en","https://kittila.fi/en","anchor-hreflang","200"
"kiuruvesi","https://www.kiuruvesi.fi/","https://kiuruvesi.fi/","en","https://kiuruvesi.fi/in-english/","anchor","200"
"kiuruvesi","https://www.kiuruvesi.fi/","https://kiuruvesi.fi/","et","https://kiuruvesi.fi/eesti-keeles/","anchor","200"
"kiuruvesi","https://www.kiuruvesi.fi/","https://kiuruvesi.fi/","sv","https://kiuruvesi.fi/svenska/","anchor","200"
"kivijärvi","https://www.kivijarvi.fi/","https://www.kivijarvi.fi/","en","https://www.kivijarvi.fi/english","anchor","200"
"kokemäki","https://kokemaki.fi/","https://kokemaki.fi/","","","","200"
"kokkola","https://www.kokkola.fi/","https://www.kokkola.fi/","en","https://www.kokkola.fi/en/","anchor","200"
"kokkola","https://www.kokkola.fi/","https://www.kokkola.fi/","sv","https://www.kokkola.fi/sv/","anchor","200"
"kolari","https://www.kolari.fi/","https://www.kolari.fi/fi","","","","200"
"konnevesi","https://konnevesi.fi/","https://konnevesi.fi/","","","","200"
"kontiolahti","https://www.kontiolahti.fi/","https://www.kontiolahti.fi/","","","","200"
"korsnäs","https://www.korsnas.fi/","https://www.korsnas.fi/","sv","https://www.korsnas.fi/","anchor","200"
"koski tl","https://koski.fi/","https://koski.fi/","","","","200"
"kotka","https://www.kotka.fi/","https://www.kotka.fi/","en","https://www.kotka.fi/en/","anchor-hreflang","200"
"kotka","https://www.kotka.fi/","https://www.kotka.fi/","ru","https://www.kotka.fi/ru/","anchor-hreflang","200"
"kouvola","https://www.kouvola.fi/","https://www.kouvola.fi/","en","https://www.kouvola.fi/en/","anchor-hreflang","200"
"kouvola","https://www.kouvola.fi/","https://www.kouvola.fi/","ru","https://www.kouvola.fi/ru/","anchor-hreflang","200"
"kristiinankaupunki","https://www.kristinestad.fi/","https://www.kristinestad.fi/","en","https://www.kristinestad.fi/start/","anchor-hreflang","200"
"kristiinankaupunki","https://www.kristinestad.fi/","https://www.kristinestad.fi/","sv","https://www.kristinestad.fi/","anchor-hreflang","200"
"kruunupyy","https://www.kronoby.fi/","https://www.kronoby.fi/","sv","https://www.kronoby.fi/sv","anchor","200"
"kuhmo","https://www.kuhmo.fi/","https://www.kuhmo.fi/","","","","200"
"kuhmoinen","https://www.kuhmoinen.fi/","https://www.kuhmoinen.fi/","","","","200"
"kumlinge","https://www.kumlinge.ax/","https://www.kumlinge.ax/","en","https://www.kumlinge.ax/en/","anchor","200"
"kumlinge","https://www.kumlinge.ax/","https://www.kumlinge.ax/","sv","https://www.kumlinge.ax/","aland-default","200"
"kuopio","https://www.kuopio.fi/","https://www.kuopio.fi/","en","https://www.kuopio.fi/en/frontpage/","anchor","200"
"kuopio","https://www.kuopio.fi/","https://www.kuopio.fi/","ru","https://www.kuopio.fi/ru/%d0%b3%d0%bb%d0%b0%d0%b2%d0%bd%d0%b0%d1%8f-%d1%81%d1%82%d1%80%d0%b0%d0%bd%d0%b8%d1%86%d0%b0-%d1%81%d0%b0%d0%b9%d1%82%d0%b0/","anchor","200"
"kuortane","https://kuortane.fi/","https://kuortane.fi/","en","https://kuortane.fi/en/","anchor","200"
"kurikka","https://kurikka.fi/","https://kurikka.fi/","","","","200"
"kustavi","https://kustavi.fi/","https://kustavi.fi/","en","https://kustavi.fi/en/","anchor-hreflang","200"
"kuusamo","https://www.kuusamo.fi/","https://www.kuusamo.fi/","","","","500"
"kyyjärvi","https://www.kyyjarvi.fi/","https://www.kyyjarvi.fi/","","","","200"
"kärkölä","https://www.karkola.fi","https://karkola.fi/","","","","200"
"kärsämäki","https://karsamaki.fi/","https://karsamaki.fi/","","","","200"
"kökar","http://www.kokar.ax/","https://www.kokar.ax/","sv","https://www.kokar.ax/","aland-default","200"
"lahti","https://www.lahti.fi/","https://www.lahti.fi/","en","https://www.lahti.fi/en/","anchor","200"
"laihia","https://laihia.fi/","https://laihia.fi/","","","","200"
"laitila","https://www.laitila.fi/","https://www.laitila.fi/","en","https://www.laitila.fi/en/","anchor","200"
"laitila","https://www.laitila.fi/","https://www.laitila.fi/","uk","https://www.laitila.fi/uk/","anchor","200"
"lapinjärvi","https://lapinjarvi.fi/","https://lapinjarvi.fi/","sv","https://lapinjarvi.fi/sv/","anchor-hreflang","200"
"lapinlahti","https://www.lapinlahti.fi/","https://lapinlahti.fi/fi","en","https://lapinlahti.fi/visit-lapinlahti-en","anchor","200"
"lappajärvi","https://lappajarvi.fi/","https://lappajarvi.fi/","","","","200"
"lappeenranta","https://lappeenranta.fi/","https://lappeenranta.fi/fi","","","","200"
"lapua","https://lapua.fi/","https://lapua.fi/","en","https://lapua.fi/en/","anchor","200"
"lapua","https://lapua.fi/","https://lapua.fi/","sv","https://lapua.fi/sv/","anchor","200"
"laukaa","https://www.laukaa.fi/","https://www.laukaa.fi/","en","https://www.laukaa.fi/en/","anchor-hreflang","200"
"laukaa","https://www.laukaa.fi/","https://www.laukaa.fi/","sv","https://www.laukaa.fi/sv/","anchor-hreflang","200"
"lemi","https://lemi.fi/","https://lemi.fi/","en","https://lemi.fi/in-english/","anchor","200"
"lemland","https://www.lemland.ax/","https://www.lemland.ax/","sv","https://www.lemland.ax/","aland-default","200"
"lempäälä","https://www.lempaala.fi/","https://www.lempaala.fi/","en","https://www.lempaala.fi/briefly-in-english/","anchor","200"
"leppävirta","https://leppavirta.fi/","https://leppavirta.fi/","en","https://leppavirta.fi/in-english/","anchor","200"
"lestijärvi","https://lestijarvi.fi/","https://lestijarvi.fi/","en","https://lestijarvi.fi/en/home-2/","anchor","200"
"lieksa","https://www.lieksa.fi/","https://www.lieksa.fi/","","","","200"
"lieto","https://lieto.fi/","https://lieto.fi/","sv","https://lieto.fi/sv/framsida","anchor","200"
"liminka","https://www.liminka.fi/","https://www.liminka.fi/","","","","200"
"liperi","https://www.liperi.fi/","https://www.liperi.fi/","","","","200"
"lohja","https://www.lohja.fi/","https://www.lohja.fi/","sv","https://www.lohja.fi/sv/","anchor-hreflang","200"
"loimaa","https://www.loimaa.fi/","https://www.loimaa.fi/","en","https://www.loimaa.fi/en/","anchor-hreflang","200"
"loppi","https://www.loppi.fi/","https://www.loppi.fi/","","","","500"
"loviisa","https://www.loviisa.fi/","https://www.loviisa.fi/","en","https://www.loviisa.fi/en/","anchor-hreflang","200"
"loviisa","https://www.loviisa.fi/","https://www.loviisa.fi/","sv","https://www.loviisa.fi/sv/","anchor-hreflang","200"
"luhanka","https://www.luhanka.fi/","https://www.luhanka.fi/","","","","200"
"lumijoki","https://www.lumijoki.fi/","https://www.lumijoki.fi/","","","","200"
"lumparland","https://www.lumparland.ax/","https://www.lumparland.ax/","sv","https://www.lumparland.ax/","aland-default","200"
"luoto","https://larsmo.fi/","https://larsmo.fi/","en","https://larsmo.fi/en/frontpage/","anchor-hreflang","200"
"luoto","https://larsmo.fi/","https://larsmo.fi/","sv","https://larsmo.fi/","anchor-hreflang","200"
"luumäki","https://www.luumaki.fi/","https://www.luumaki.fi/fi","","","","200"
"maalahti","https://www.malax.fi/","https://www.malax.fi/","en","https://www.malax.fi/en/","anchor-hreflang","200"
"maalahti","https://www.malax.fi/","https://www.malax.fi/","sv","https://www.malax.fi/","anchor-hreflang","200"
"maarianhamina","https://www.mariehamn.ax/fi","https://www.mariehamn.ax/fi","sv","https://www.mariehamn.ax/","aland-default","200"
"marttila","https://marttila.fi/","https://marttila.fi/","","","","200"
"masku","https://www.masku.fi/","https://masku.fi/","","","","200"
"merijärvi","https://www.merijarvi.fi/","https://www.merijarvi.fi/","","","","200"
"merikarvia","https://merikarvia.fi/","https://merikarvia.fi/","","","","200"
"miehikkälä","https://www.miehikkala.fi/","https://www.miehikkala.fi/","","","","200"
"mikkeli","https://mikkeli.fi/","https://mikkeli.fi/","en","https://mikkeli.fi/en/","anchor","200"
"mikkeli","https://mikkeli.fi/","https://mikkeli.fi/","sv","https://mikkeli.fi/sv/","anchor","200"
"muhos","https://muhos.fi/","https://muhos.fi/","","","","200"
"multia","https://multia.fi/","https://multia.fi/","","","","200"
"muonio","https://www.muonio.fi/","https://www.muonio.fi/","en","https://www.muonio.fi/en/home.html","anchor","200"
"mustasaari","https://korsholm.fi/","https://korsholm.fi/","en","https://en.korsholm.fi/","anchor-hreflang","200"
"mustasaari","https://korsholm.fi/","https://korsholm.fi/","sv","https://korsholm.fi/","anchor-hreflang","200"
"muurame","https://www.muurame.fi/","https://www.muurame.fi/","uk","https://www.muurame.fi/palvelut/ukraina-1/","anchor","200"
"mynämäki","https://www.mynamaki.fi/","https://www.mynamaki.fi/","en","https://www.mynamaki.fi/english/","anchor","200"
"myrskylä","https://myrskyla.fi/","https://myrskyla.fi/","sv","https://myrskyla.fi/sv/","anchor-hreflang","200"
"mäntsälä","https://www.mantsala.fi/","https://www.mantsala.fi/","","","","200"
"mänttä-vilppula","https://www.manttavilppula.fi/","https://manttavilppula.fi/","en","https://manttavilppula.fi/in-english","anchor","200"
"mäntyharju","https://www.mantyharju.fi/","https://www.mantyharju.fi/","","","","200"
"naantali","https://www.naantali.fi/","https://www.naantali.fi/fi","en","https://www.naantali.fi/en","anchor-hreflang","200"
"naantali","https://www.naantali.fi/","https://www.naantali.fi/fi","sv","https://www.naantali.fi/sv","anchor-hreflang","200"
"nakkila","https://nakkila.fi/","https://nakkila.fi/","","","","200"
"nivala","https://www.nivala.fi/","https://www.nivala.fi/","","","","200"
"nokia","https://www.nokiankaupunki.fi/","https://www.nokiankaupunki.fi/","","","","200"
"nousiainen","https://nousiainen.fi/","https://nousiainen.fi/","","","","200"
"nurmes","https://www.nurmes.fi/","https://www.nurmes.fi/","","","","200"
"nurmijärvi","https://www.nurmijarvi.fi/","https://www.nurmijarvi.fi/","en","https://www.nurmijarvi.fi/nurmijarvi-in-english/","anchor","200"
"nurmijärvi","https://www.nurmijarvi.fi/","https://www.nurmijarvi.fi/","sv","https://www.nurmijarvi.fi/pa-svenska/","anchor","200"
"närpiö","https://www.narpes.fi/","https://www.narpes.fi/","sv","https://www.narpes.fi/","anchor-hreflang","200"
"orimattila","https://orimattila.fi/","https://orimattila.fi/","","","","200"
"oripää","https://oripaa.fi/","https://oripaa.fi/","en","https://oripaa.fi/in-english/","anchor","200"
"orivesi","https://orivesi.fi/","https://orivesi.fi/","en","https://orivesi.fi/en/front-page/","anchor-hreflang","200"
"oulainen","https://www.oulainen.fi/","https://www.oulainen.fi/","en","https://www.oulainen.fi/en","anchor-hreflang","200"
"oulainen","https://www.oulainen.fi/","https://www.oulainen.fi/","ru","https://www.oulainen.fi/ru","anchor-hreflang","200"
"oulu","https://www.ouka.fi/","https://www.ouka.fi/","en","https://www.ouka.fi/en/etusivu","anchor-hreflang","200"
"oulu","https://www.ouka.fi/","https://www.ouka.fi/","sv","https://www.ouka.fi/sv/framsida","anchor-hreflang","200"
"outokumpu","https://www.outokummunkaupunki.fi/","https://www.outokummunkaupunki.fi/","en","https://www.outokummunkaupunki.fi/in-english/","anchor","200"
"padasjoki","https://www.padasjoki.fi/","https://www.padasjoki.fi/","","","","200"
"paimio","https://www.paimio.fi/","https://www.paimio.fi/","","","","500"
"paltamo","https://www.paltamo.fi/","https://www.paltamo.fi/","en","https://www.paltamo.fi/en/home.html","anchor","200"
"parainen","https://www.pargas.fi/","https://www.pargas.fi/sv/framsida","en","https://www.pargas.fi/en/web/pargas-eng","anchor","200"
"parainen","https://www.pargas.fi/","https://www.pargas.fi/sv/framsida","sv","https://www.pargas.fi/sv","anchor","200"
"parainen","https://www.pargas.fi/","https://www.pargas.fi/sv/framsida","uk","https://www.pargas.fi/sv/ukraina-info","anchor","200"
"parikkala","https://parikkala.fi/","https://parikkala.fi/","","","","200"
"parkano","https://www.parkano.fi/","https://parkano.fi/","en","https://parkano.fi/en/","anchor","200"
"pedersören kunta","https://www.pedersore.fi/","https://www.pedersore.fi/","en","https://www.pedersore.fi/en/","anchor","200"
"pedersören kunta","https://www.pedersore.fi/","https://www.pedersore.fi/","sv","https://www.pedersore.fi/sv/soek/","anchor","200"
"pelkosenniemi","https://pelkosenniemi.fi/","https://pelkosenniemi.fi/","en","https://pelkosenniemi.fi/en/","anchor-hreflang","200"
"pello","https://www.pello.fi/","https://www.pello.fi/","en","https://www.pello.fi/en/home.html","anchor","200"
"perho","https://perho.com/","https://perho.com/","","","","200"
"petäjävesi","https://www.petajavesi.fi/","https://www.petajavesi.fi/","","","","200"
"pieksämäki","https://www.pieksamaki.fi/","https://www.pieksamaki.fi/","ru","https://www.pieksamaki.fi/","hreflang","200"
"pielavesi","https://pielavesi.fi/","https://pielavesi.fi/","en","https://pielavesi.fi/en/","anchor-hreflang","200"
"pietarsaari","https://jakobstad.fi/","https://jakobstad.fi/","en","https://en.jakobstad.fi/","anchor-hreflang","200"
"pietarsaari","https://jakobstad.fi/","https://jakobstad.fi/","sv","https://jakobstad.fi/","anchor-hreflang","200"
"pihtipudas","https://pihtipudas.fi/","https://pihtipudas.fi/","","","","200"
"pirkkala","https://www.pirkkala.fi/","https://www.pirkkala.fi/","en","https://www.pirkkala.fi/en/front-page/","anchor-hreflang","200"
"polvijärvi","https://www.polvijarvi.fi/","https://www.polvijarvi.fi/","","","","200"
"pomarkku","https://www.pomarkku.fi/","https://www.pomarkku.fi/","","","","200"
"pori","https://www.pori.fi/","https://www.pori.fi/","en","https://www.pori.fi/en/","anchor","200"
"pornainen","https://pornainen.fi","https://pornainen.fi/","","","","200"
"porvoo","https://www.porvoo.fi/","https://www.porvoo.fi/","en","https://www.porvoo.fi/en/","anchor","200"
"porvoo","https://www.porvoo.fi/","https://www.porvoo.fi/","sv","https://www.porvoo.fi/sv/","anchor","200"
"posio","https://www.posio.fi/","https://www.posio.fi/","en","https://www.posio.fi/","hreflang","200"
"pudasjärvi","https://www.pudasjarvi.fi/","https://www.pudasjarvi.fi/","","","","200"
"pukkila","https://www.pukkila.fi/","https://www.pukkila.fi/","en","https://www.pukkila.fi/in-english/","anchor","200"
"punkalaidun","https://www.punkalaidun.fi/","https://www.punkalaidun.fi/","","","","200"
"puolanka","https://puolanka.fi/","https://puolanka.fi/","","","","200"
"puumala","https://puumala.fi/","https://puumala.fi/","en","https://puumala.fi/en/home/","anchor-hreflang","200"
"puumala","https://puumala.fi/","https://puumala.fi/","ru","https://puumala.fi/ru/%d0%b3%d0%bb%d0%b0%d0%b2%d0%bd%d0%b0%d1%8f/","anchor-hreflang","200"
"pyhtää","https://pyhtaa.fi/","https://pyhtaa.fi/fi","en","https://pyhtaa.fi/en","anchor-hreflang","200"
"pyhtää","https://pyhtaa.fi/","https://pyhtaa.fi/fi","sv","https://pyhtaa.fi/sv","anchor-hreflang","200"
"pyhäjoki","https://www.pyhajoki.fi/","https://www.pyhajoki.fi/","en","https://www.pyhajoki.fi/en","anchor-hreflang","200"
"pyhäjoki","https://www.pyhajoki.fi/","https://www.pyhajoki.fi/","sv","https://www.pyhajoki.fi/sv","anchor-hreflang","200"
"pyhäjärvi","https://www.pyhajarvi.fi/","https://www.pyhajarvi.fi/fi","","","","200"
"pyhäntä","https://www.pyhanta.fi/","https://www.pyhanta.fi/","","","","200"
"pyhäranta","https://www.pyharanta.fi/","https://www.pyharanta.fi/","","","","200"
"pälkäne","https://www.palkane.fi/","https://www.palkane.fi/","","","","200"
"pöytyä","https://www.poytya.fi/","https://www.poytya.fi/","","","","200"
"raahe","https://www.raahe.fi/","https://www.raahe.fi/","en","https://www.raahe.fi/en/node/295","anchor-hreflang","200"
"raahe","https://www.raahe.fi/","https://www.raahe.fi/","ru","https://www.raahe.fi/ru/node/295","anchor-hreflang","200"
"raahe","https://www.raahe.fi/","https://www.raahe.fi/","sv","https://www.raahe.fi/sv/node/295","anchor-hreflang","200"
"raasepori","https://www.raseborg.fi/","https://www.raseborg.fi/","sv","https://www.raseborg.fi/skolor/karis-svenska-hogstadium/","anchor","200"
