"Päivitetty","Kunta","Varmuus","Pisteet","Nimi","URL","Kunnan sivu","HTTP","Löytötapa","Osumat"
"13.8.2026 klo 12.26","Inkoo","ei löytynyt","0","","","https://www.inga.fi/","200","",""
"13.8.2026 klo 12.26","Isojoki","ei löytynyt","0","","","https://isojoki.fi/","200","",""
"13.8.2026 klo 12.26","Isokyrö","korkea","380","Ikäihmiset","https://isokyro.fi/hyvinvointi-ja-vapaa-aika/ikaihmiset/","https://isokyro.fi/","200","etusivu","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Janakkala","ei löytynyt","0","","","https://www.janakkala.fi/","200","",""
"13.8.2026 klo 12.26","Joensuu","korkea","275","Ikäihmiset","https://www.joensuu.fi/ikaihmiset/","https://www.joensuu.fi/","200","polku","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Jokioinen","korkea","355","Ikääntyneiden palvelut","https://www.jokioinen.fi/vapaa-aika-ja-hyvinvointi/ikaantyneiden-palvelut/","https://www.jokioinen.fi/","200","etusivu","ikaantyneiden palvelut; ikääntyneiden palvelut"
"13.8.2026 klo 12.26","Jomala","ei löytynyt","0","","","https://www.jomala.ax/","200","",""
"13.8.2026 klo 12.26","Joroinen","ei löytynyt","0","","","https://www.joroinen.fi/","200","",""
"13.8.2026 klo 12.26","Joutsa","korkea","335","Ikäihmisten palvelut","https://www.joutsa.fi/hyvinvointi-ja-terveys/ikaihmistenpalvelut/","https://www.joutsa.fi/","200","etusivu","ikäihmisten palvelut"
"13.8.2026 klo 12.26","Juuka","ei löytynyt","0","","","https://www.juuka.fi/","200","",""
"13.8.2026 klo 12.26","Juupajoki","ei löytynyt","0","","","https://juupajoki.fi/","200","",""
"13.8.2026 klo 12.26","Juva","ei löytynyt","0","","","https://www.juva.fi/","200","",""
"13.8.2026 klo 12.26","Jyväskylä","ei löytynyt","30","Sote 2020 -hanke: Vanhuspalvelut","https://www.jyvaskyla.fi/kaupunki-ja-paatoksenteko/strategia-ja-kehittaminen/hankkeet/sote-2020/vanhuspalvelut","https://www.jyvaskyla.fi/","200","sivukartta","vanhuspalvelut; ikäystävällinen"
"13.8.2026 klo 12.26","Jämijärvi","ei löytynyt","0","","","https://jamijarvi.fi/","200","",""
"13.8.2026 klo 12.26","Jämsä","ei löytynyt","0","","","https://www.jamsa.fi/","200","",""
"13.8.2026 klo 12.26","Järvenpää","korkea","460","Ikäihmiset","https://www.jarvenpaa.fi/hyvinvointi-ja-terveys/ikaihmiset","https://www.jarvenpaa.fi/","200","etusivu","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Kaarina","ei löytynyt","0","","","https://kaarina.fi/","200","",""
"13.8.2026 klo 12.26","Kaavi","ei löytynyt","0","","","https://kaavi.fi/","200","",""
"13.8.2026 klo 12.26","Kajaani","ei löytynyt","0","","","https://www.kajaani.fi/","200","",""
"13.8.2026 klo 12.26","Kalajoki","ei löytynyt","0","","","https://www.kalajoki.fi/","200","",""
"13.8.2026 klo 12.26","Kangasala","ei löytynyt","0","","","https://www.kangasala.fi/","200","",""
"13.8.2026 klo 12.26","Kangasniemi","korkea","90","Ikääntyneet","https://www.kangasniemi.fi/sosiaali-ja-terveyspalvelut/ikaantyneet/","https://www.kangasniemi.fi/","200","etusivu","ikaantyneet; ikääntyneet"
"13.8.2026 klo 12.26","Kankaanpää","keskitaso","160","Avainsana: vanhuspalvelut","https://www.kankaanpaa.fi/avainsana/vanhuspalvelut/","https://www.kankaanpaa.fi/","200","sivukartta","vanhuspalvelut"
"13.8.2026 klo 12.26","Kannonkoski","ei löytynyt","0","","","https://kannonkoski.fi/","200","",""
"13.8.2026 klo 12.26","Kannus","korkea","465","Senioripalvelut","https://kannus.fi/hallinto-ja-paatoksenteko/asiointi/senioripalvelut/","https://kannus.fi/","200","etusivu","senioripalvelut; ikäihmisten palvelut"
"13.8.2026 klo 12.26","Karijoki","ei löytynyt","0","","","https://karijoki.fi/","200","",""
"13.8.2026 klo 12.26","Karkkila","ei löytynyt","0","","","https://www.karkkila.fi/","200","",""
"13.8.2026 klo 12.26","Karstula","ei löytynyt","0","","","https://karstula.fi/","200","",""
"13.8.2026 klo 12.26","Karvia","ei löytynyt","0","","","https://karvia.fi/","200","",""
"13.8.2026 klo 12.26","Kaskinen","ei löytynyt","0","","","https://kaskinen.fi/","200","",""
"13.8.2026 klo 12.26","Kauhajoki","korkea","405","Ikäihmiset","https://kauhajoki.fi/ikaihmiset/","https://kauhajoki.fi/","200","polku","ikäihmiset; ikaihmiset; ikäihmisten palvelut; seniorit"
"13.8.2026 klo 12.26","Kauhava","ei löytynyt","0","","","https://www.kauhava.fi","200","",""
"13.8.2026 klo 12.26","Kauniainen","ei löytynyt","0","","","https://www.kauniainen.fi/","200","",""
"13.8.2026 klo 12.26","Kaustinen","ei löytynyt","0","","","https://kaustinen.fi/","200","",""
"13.8.2026 klo 12.26","Keitele","korkea","250","Ikäihmiset","https://keitele.fi/ikaihmiset/","https://www.keitele.fi/","200","polku","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Kemi","korkea","520","Ikäihmiset","https://www.kemi.fi/asuminen-ja-ymparisto/asuminen/ikaihmiset/","https://www.kemi.fi/","200","etusivu","ikäihmiset; ikaihmiset; ikääntyneiden palvelut; seniorit"
"13.8.2026 klo 12.26","Kemijärvi","ei löytynyt","0","","","https://kemijarvi.fi/","200","",""
"13.8.2026 klo 12.26","Keminmaa","ei löytynyt","0","","","https://www.keminmaa.fi/","200","",""
"13.8.2026 klo 12.26","Kemiönsaari","ei löytynyt","0","","","https://en.kimitoon.fi/","200","",""
"13.8.2026 klo 12.26","Kempele","ei löytynyt","0","","","https://www.kempele.fi/","200","",""
"13.8.2026 klo 12.26","Kerava","ei löytynyt","0","","","https://www.kerava.fi","500","",""
"13.8.2026 klo 12.26","Keuruu","ei löytynyt","0","","","https://www.keuruu.fi/","200","",""
"13.8.2026 klo 12.26","Kihniö","ei löytynyt","0","","","https://www.kihnio.fi/","200","",""
"13.8.2026 klo 12.26","Kinnula","ei löytynyt","0","","","https://www.kinnula.fi/","200","",""
"13.8.2026 klo 12.26","Kirkkonummi","ei löytynyt","0","","","https://www.kyrkslatt.fi/","200","",""
"13.8.2026 klo 12.26","Kitee","ei löytynyt","0","","","https://www.kitee.fi/","200","",""
"13.8.2026 klo 12.26","Kittilä","korkea","105","Ikäihmiset","https://kittila.fi/ikaihmiset","https://kittila.fi/","200","polku","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Kiuruvesi","ei löytynyt","0","","","https://www.kiuruvesi.fi/","200","",""
"13.8.2026 klo 12.26","Kivijärvi","ei löytynyt","0","","","https://www.kivijarvi.fi/","200","",""
"13.8.2026 klo 12.26","Kokemäki","ei löytynyt","0","","","https://kokemaki.fi/","200","",""
"13.8.2026 klo 12.26","Kokkola","ei löytynyt","0","","","https://www.kokkola.fi/","200","",""
"13.8.2026 klo 12.26","Kolari","ei löytynyt","0","","","https://www.kolari.fi/","200","",""
"13.8.2026 klo 12.26","Konnevesi","ei löytynyt","0","","","https://konnevesi.fi/","200","",""
"13.8.2026 klo 12.26","Kontiolahti","ei löytynyt","0","","","https://www.kontiolahti.fi/","200","",""
"13.8.2026 klo 12.26","Korsnäs","ei löytynyt","0","","","https://www.korsnas.fi/","200","",""
"13.8.2026 klo 12.26","Koski tl","ei löytynyt","0","","","https://koski.fi/","200","",""
"13.8.2026 klo 12.26","Kotka","ei löytynyt","0","","","https://www.kotka.fi/","200","",""
"13.8.2026 klo 12.26","Kouvola","ei löytynyt","0","","","https://www.kouvola.fi/","200","",""
"13.8.2026 klo 12.26","Kristiinankaupunki","ei löytynyt","0","","","https://www.kristinestad.fi/","200","",""
"13.8.2026 klo 12.26","Kruunupyy","ei löytynyt","0","","","https://www.kronoby.fi/","200","",""
"13.8.2026 klo 12.26","Kuhmo","ei löytynyt","0","","","https://www.kuhmo.fi/","200","",""
"13.8.2026 klo 12.26","Kuhmoinen","ei löytynyt","0","","","https://www.kuhmoinen.fi/","200","",""
"13.8.2026 klo 12.26","Kumlinge","ei löytynyt","0","","","https://www.kumlinge.ax/","200","",""
"13.8.2026 klo 12.26","Kuopio","ei löytynyt","-25","Kulttuuria ikääntyneille","https://www.kuopio.fi/vapaa-aika-ja-hyvinvointi/kulttuuri-kuopio/kulttuuria-ikaantyneille/","https://www.kuopio.fi/","200","polku","seniorit"
"13.8.2026 klo 12.26","Kuortane","ei löytynyt","0","","","https://kuortane.fi/","200","",""
"13.8.2026 klo 12.26","Kurikka","ei löytynyt","0","","","https://kurikka.fi/","200","",""
"13.8.2026 klo 12.26","Kustavi","ei löytynyt","0","","","https://kustavi.fi/","200","",""
"13.8.2026 klo 12.26","Kuusamo","ei löytynyt","0","","","https://www.kuusamo.fi/","500","",""
"13.8.2026 klo 12.26","Kyyjärvi","korkea","520","Ikäihmiset","https://www.kyyjarvi.fi/ikaihmiset","https://www.kyyjarvi.fi/","200","polku","ikäihmiset; ikaihmiset; seniorit"
"13.8.2026 klo 12.26","Kärkölä","korkea","160","Senioripalvelut","https://karkola.fi/palvelut/hyvinvoinnin-edistaminen/senioripalvelut/","https://www.karkola.fi","200","polku","senioripalvelut"
"13.8.2026 klo 12.26","Kärsämäki","ei löytynyt","0","","","https://karsamaki.fi/","200","",""
"13.8.2026 klo 12.26","Kökar","ei löytynyt","0","","","https://www.kokar.ax/","200","",""
"13.8.2026 klo 12.26","Lahti","ei löytynyt","0","","","https://www.lahti.fi/","200","",""
"13.8.2026 klo 12.26","Laihia","ei löytynyt","0","","","https://laihia.fi/","200","",""
"13.8.2026 klo 12.26","Laitila","ei löytynyt","0","","","https://www.laitila.fi/","200","",""
"13.8.2026 klo 12.26","Lapinjärvi","ei löytynyt","0","","","https://lapinjarvi.fi/","200","",""
"13.8.2026 klo 12.26","Lapinlahti","ei löytynyt","0","","","https://lapinlahti.fi/","200","",""
"13.8.2026 klo 12.26","Lappajärvi","ei löytynyt","0","","","https://lappajarvi.fi/","200","",""
"13.8.2026 klo 12.26","Lappeenranta","ei löytynyt","0","","","https://lappeenranta.fi/","200","",""
"13.8.2026 klo 12.26","Lapua","ei löytynyt","0","","","https://lapua.fi/","200","",""
"13.8.2026 klo 12.26","Laukaa","ei löytynyt","0","","","https://www.laukaa.fi/","200","",""
"13.8.2026 klo 12.26","Lemi","ei löytynyt","0","","","https://lemi.fi/","200","",""
"13.8.2026 klo 12.26","Lemland","korkea","650","Äldreomsorg","https://www.lemland.ax/aldreomsorg","https://www.lemland.ax/","200","polku","äldreomsorg; aldreomsorg; seniorer"
"13.8.2026 klo 12.26","Lempäälä","korkea","285","Ikäihmiset","https://www.lempaala.fi/kohderyhmat/ikaihmiset/","https://www.lempaala.fi/","200","polku","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Leppävirta","korkea","420","Ikäihmiset","https://leppavirta.fi/sosiaali-ja-terveyspalvelut/ikaihmiset/","https://leppavirta.fi/","200","polku","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Lestijärvi","ei löytynyt","0","","","https://lestijarvi.fi/","200","",""
"13.8.2026 klo 12.26","Lieksa","ei löytynyt","0","","","https://www.lieksa.fi/","200","",""
"13.8.2026 klo 12.26","Lieto","korkea","910","Ikäihmisten palvelut","https://www.lieto.fi/palvelut-ja-asiointi/ikaihmisten-palvelut/","https://lieto.fi/","200","etusivu","ikäihmisten palvelut; ikaihmisten palvelut; ikääntyneiden palvelut"
"13.8.2026 klo 12.26","Liminka","ei löytynyt","0","","","https://www.liminka.fi/","200","",""
"13.8.2026 klo 12.26","Liperi","korkea","225","Ikäihmiset","https://www.liperi.fi/vapaa-aika/ikaihmiset/","https://www.liperi.fi/","200","polku","ikaihmiset; ikäihmiset"
"13.8.2026 klo 12.26","Lohja","ei löytynyt","0","","","https://www.lohja.fi/","200","",""
"13.8.2026 klo 12.26","Loimaa","ei löytynyt","0","","","https://www.loimaa.fi/","200","",""
"13.8.2026 klo 12.26","Loppi","ei löytynyt","0","","","https://www.loppi.fi/","500","",""
"13.8.2026 klo 12.26","Loviisa","ei löytynyt","0","","","https://www.loviisa.fi/","200","",""
"13.8.2026 klo 12.26","Luhanka","korkea","385","Ikäihmiset – Luhanka","https://www.luhanka.fi/ikaihmiset/","https://www.luhanka.fi/","200","polku","ikäihmiset; ikaihmiset; ikääntyneiden palvelut"
"13.8.2026 klo 12.26","Lumijoki","ei löytynyt","0","","","https://www.lumijoki.fi/","200","",""
"13.8.2026 klo 12.26","Lumparland","korkea","760","Äldreomsorg","https://www.lumparland.ax/omsorg/aldreomsorg","https://www.lumparland.ax/","200","etusivu","äldreomsorg; aldreomsorg; för äldre"
"13.8.2026 klo 12.26","Luoto","korkea","775","Aktiiviset seniorit","https://larsmo.fi/fi/perusturva/senioripalvelut/aktiiviset-seniorit/","https://larsmo.fi/","200","sivukartta","senioripalvelut; seniorit; ikäihmisten palvelut"
"13.8.2026 klo 12.26","Luumäki","ei löytynyt","0","","","https://www.luumaki.fi/","200","",""
"13.8.2026 klo 12.26","Maalahti","ei löytynyt","0","","","https://www.malax.fi/","200","",""
"13.8.2026 klo 12.26","Maarianhamina","ei löytynyt","0","","","https://www.mariehamn.ax/fi","200","",""
"13.8.2026 klo 12.26","Marttila","ei löytynyt","0","","","https://marttila.fi/","TypeError","",""
"13.8.2026 klo 12.26","Masku","ei löytynyt","0","","","https://www.masku.fi/","200","",""
"13.8.2026 klo 12.26","Merijärvi","ei löytynyt","0","","","https://www.merijarvi.fi/","200","",""
"13.8.2026 klo 12.26","Merikarvia","korkea","350","Ikäihmisten palvelut","https://merikarvia.fi/sosiaali-ja-terveys/ikaihmisten-palvelut/","https://merikarvia.fi/","200","etusivu","ikaihmisten palvelut; ikäihmisten palvelut; ikäihmiset"
"13.8.2026 klo 12.26","Miehikkälä","ei löytynyt","0","","","https://www.miehikkala.fi/","200","",""
"13.8.2026 klo 12.26","Mikkeli","ei löytynyt","0","","","https://mikkeli.fi/","200","",""
"13.8.2026 klo 12.26","Muhos","korkea","445","Ikäihmisten palvelut - Muhoksen kunta","https://muhos.fi/sosiaali-ja-terveys/ikaihmisten-palvelut/","https://muhos.fi/","200","sivukartta","ikäihmisten palvelut; ikaihmisten palvelut"
"13.8.2026 klo 12.26","Multia","ei löytynyt","0","","","https://multia.fi/","200","",""
"13.8.2026 klo 12.26","Muonio","ei löytynyt","0","","","https://www.muonio.fi/","200","",""
"13.8.2026 klo 12.26","Mustasaari","ei löytynyt","0","","","https://korsholm.fi/","200","",""
"13.8.2026 klo 12.26","Muurame","korkea","185","Ikäihmiset","https://www.muurame.fi/palvelut/ikaihmiset/","https://www.muurame.fi/","200","polku","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Mynämäki","korkea","270","Ikäihmisten vapaa-aikatoiminta","https://www.mynamaki.fi/vapaa-aika-ja-kulttuuri/ikaihmiset/","https://www.mynamaki.fi/","200","etusivu","ikaihmiset; ikäihmiset"
"13.8.2026 klo 12.26","Myrskylä","korkea","660","Ikääntyneiden palvelut","https://myrskyla.fi/palvelut/hyvinvointipalvelut/ikaantyneiden-palvelut/","https://myrskyla.fi/","200","etusivu","ikääntyneiden palvelut; ikaantyneiden palvelut"
"13.8.2026 klo 12.26","Mäntsälä","korkea","955","Seniorityö","https://www.mantsala.fi/hyvinvointi-ja-terveys/seniorityo/","https://www.mantsala.fi/","200","polku","seniorityö; seniorityo; seniorit"
"13.8.2026 klo 12.26","Mänttä-vilppula","ei löytynyt","0","","","https://www.manttavilppula.fi/","200","",""
"13.8.2026 klo 12.26","Mäntyharju","ei löytynyt","0","","","https://www.mantyharju.fi/","200","",""
"13.8.2026 klo 12.26","Naantali","korkea","345","Ikäihmiset","https://www.naantali.fi/fi/ikaihmiset","https://www.naantali.fi/","200","etusivu","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Nakkila","ei löytynyt","-70","Elämää siin Nakkila kirko vaiheil.","https://nakkila.fi/","https://nakkila.fi/","200","polku",""
"13.8.2026 klo 12.26","Nivala","ei löytynyt","0","","","https://www.nivala.fi/","200","",""
"13.8.2026 klo 12.26","Nokia","ei löytynyt","0","","","https://www.nokiankaupunki.fi/","200","",""
"13.8.2026 klo 12.26","Nousiainen","ei löytynyt","0","","","https://nousiainen.fi/","200","",""
"13.8.2026 klo 12.26","Nurmes","ei löytynyt","0","","","https://www.nurmes.fi/","200","",""
"13.8.2026 klo 12.26","Nurmijärvi","korkea","105","Ikäihmiset","https://www.nurmijarvi.fi/ikaihmiset/","https://www.nurmijarvi.fi/","200","polku","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Närpiö","ei löytynyt","0","","","https://www.narpes.fi/","200","",""
"13.8.2026 klo 12.26","Orimattila","korkea","240","Senioripalvelut","https://orimattila.fi/vapaa-aika-ja-hyvinvointi/senioripalvelut/","https://orimattila.fi/","200","polku","senioripalvelut"
"13.8.2026 klo 12.26","Oripää","ei löytynyt","-60","Varhan vanhustenhuollon palvelut","https://oripaa.fi/asukkaalle/hyvinvointi/varsinais-suomen-hyvinvointialue/vanhuspalvelut/","https://oripaa.fi/","200","sivukartta","vanhuspalvelut"
"13.8.2026 klo 12.26","Orivesi","ei löytynyt","0","","","https://orivesi.fi/","200","",""
"13.8.2026 klo 12.26","Oulainen","ei löytynyt","0","","","https://www.oulainen.fi/","200","",""
"13.8.2026 klo 12.26","Oulu","ei löytynyt","0","","","https://www.ouka.fi/","200","",""
"13.8.2026 klo 12.26","Outokumpu","korkea","740","Ikäihmisten palvelut","https://www.outokummunkaupunki.fi/hyvinvointi-ja-terveys/ikaihmisten-palvelut/","https://www.outokummunkaupunki.fi/","200","etusivu","ikäihmisten palvelut; ikaihmisten palvelut"
"13.8.2026 klo 12.26","Padasjoki","korkea","345","Ikääntyneet","https://www.padasjoki.fi/hyvinvointi-ja-kulttuuri/ikaantyneet","https://www.padasjoki.fi/","200","etusivu","ikääntyneet; ikaantyneet"
"13.8.2026 klo 12.26","Paimio","ei löytynyt","0","","","https://www.paimio.fi/","500","",""
"13.8.2026 klo 12.26","Paltamo","ei löytynyt","0","","","https://www.paltamo.fi/","200","",""
"13.8.2026 klo 12.26","Parainen","ei löytynyt","0","","","https://www.pargas.fi/","200","",""
"13.8.2026 klo 12.26","Parikkala","ei löytynyt","0","","","https://parikkala.fi/","200","",""
"13.8.2026 klo 12.26","Parkano","ei löytynyt","0","","","https://www.parkano.fi/","200","",""
"13.8.2026 klo 12.26","Pedersören","ei löytynyt","0","","","https://www.pedersore.fi/","200","",""
"13.8.2026 klo 12.26","Pelkosenniemi","ei löytynyt","0","","","https://pelkosenniemi.fi/","200","",""
"13.8.2026 klo 12.26","Pello","ei löytynyt","0","","","https://www.pello.fi/","200","",""
"13.8.2026 klo 12.26","Perho","ei löytynyt","0","","","https://perho.com/","200","",""
"13.8.2026 klo 12.26","Petäjävesi","ei löytynyt","0","","","https://www.petajavesi.fi/","200","",""
"13.8.2026 klo 12.26","Pieksämäki","ei löytynyt","0","","","https://www.pieksamaki.fi/","200","",""
"13.8.2026 klo 12.26","Pielavesi","ei löytynyt","0","","","https://pielavesi.fi/","200","",""
"13.8.2026 klo 12.26","Pietarsaari","ei löytynyt","0","","","https://jakobstad.fi/","200","",""
"13.8.2026 klo 12.26","Pihtipudas","ei löytynyt","0","","","https://pihtipudas.fi/","200","",""
"13.8.2026 klo 12.26","Pirkkala","ei löytynyt","0","","","https://www.pirkkala.fi/","200","",""
"13.8.2026 klo 12.26","Polvijärvi","ei löytynyt","0","","","https://www.polvijarvi.fi/","200","",""
"13.8.2026 klo 12.26","Pomarkku","ei löytynyt","0","","","https://www.pomarkku.fi/","200","",""
"13.8.2026 klo 12.26","Pori","ei löytynyt","0","","","https://www.pori.fi/","200","",""
"13.8.2026 klo 12.26","Pornainen","korkea","660","Ikäihmisten palvelut - Pornainen","https://pornainen.fi/kuntalaiset/terveys-ja-hyvinvointi/ikaihmisten-palvelut/","https://pornainen.fi","200","etusivu","ikäihmisten palvelut; ikaihmisten palvelut"
"13.8.2026 klo 12.26","Porvoo","ei löytynyt","0","","","https://www.porvoo.fi/","200","",""
"13.8.2026 klo 12.26","Posio","korkea","230","Ikäihmiset","https://www.posio.fi/ikaihmiset/","https://www.posio.fi/","200","polku","ikäihmiset; ikaihmiset"
"13.8.2026 klo 12.26","Pudasjärvi","ei löytynyt","0","","","https://www.pudasjarvi.fi/","200","",""
"13.8.2026 klo 12.26","Pukkila","korkea","455","65+ toiminta","https://www.pukkila.fi/hyvinvointi-ja-kulttuuri/senioripalvelut/65-toiminta/","https://www.pukkila.fi/","200","etusivu","senioripalvelut; seniorityö; seniorit"
"13.8.2026 klo 12.26","Punkalaidun","ei löytynyt","0","","","https://www.punkalaidun.fi/","200","",""
"13.8.2026 klo 12.26","Puolanka","ei löytynyt","0","","","https://puolanka.fi/","200","",""
